"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"co68","Herbário Alexandre Leal Costa da UFBA","","Records provided by Herbário Alexandre Leal Costa da UFBA, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co68","","","","567"
"co69","Herbário HSTM","","Records provided by Herbário HSTM, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co69","","","","20"
"dr509","Liquenoteca do Herbário da Universidade de Caxias do Sul","","Herbário da Universidade de Caxias do Sul, HUCS","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr509","","","","9"
"co437","Coleção Entomológica do Setor Palotina","","Records provided by Coleção Entomológica do Setor Palotina, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co437","","","","1696"
"co316","Herbário do Trópico Semiárido","","Records provided by Herbário do Trópico Semiárido, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co316","","","","103"
"co559","Coleção de Ictiofauna","","Records provided by Coleção de Ictiofauna, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co559","","","","2"
"co315","Herbário Sérgio Tavares","","Records provided by Herbário Sérgio Tavares, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co315","","","","8"
"dr861","Soil macrofauna communities in urban public parks of Curitiba, Paraná state, Brazil","","Bartz M L C, Sautter K D, Niva C C, Cardoso G B, Assis O, Gabriac Q (2023): Soil macrofauna communities in urban public parks of Curitiba, Paraná state, Brazil. v1.2. Embrapa Forestry. Dataset/Samplingevent. https://ipt.sibbr.gov.br/sibbr/resource?r=soil_macrofauna_curitiba&amp;v=1.2","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr861","","","","424"
"dr508","Micoteca do Herbário da Universidade de Caxias do Sul","","Herbário da Universidade de Caxias do Sul, HUCS","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr508","","","","821"
"dr507","Herbário da Universidade Federal do Estado do Rio de Janeiro. Jabot - Banco de Dados da Flora Brasileira","","Zorat Cordeiro S (2023): HUNI - Herbário da Universidade Federal do Estado do Rio de Janeiro. Jabot - Banco de Dados da Flora Brasileira. v1.42. No organisation. Dataset/Occurrence. https://ipt.jbrj.gov.br/jabot/resource?r=huni&v=1.42","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr507","","","","15"
"dr865","Soil macrofauna communities in a long-term soil tillage experiment at Coamo in Campo Mourão, Paraná, Brazil ","","Brown G, Pasini A, Korasaki V, Galerani P, Torres E, dos Santos J, Saraiva O, Oliveira L, Matsumura C, Demetrio W (2023): Soil macrofauna communities in a long-term soil tillage experiment at Coamo in Campo Mourão, Paraná, Brazil. v1.0. No organisation. Dataset/Samplingevent. https://ipt.sibbr.gov.br/sibbr/resource?r=6_soil_macrofauna_sampling_campomourao_galerani&v=1.0","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr865","","","","108"
"dr864","Soil macrofauna communities in a long-term crop rotation experiment at Coamo in Campo Mourão, Paraná, Brazil ","","Brown G, Pasini A, Korasaki V, James S, Galerani P, Torres E, dos Santos J, Saraiva O, Oliveira L, Matsumura C, Demetrio W (2023): Soil macrofauna communities in a long-term crop rotation experiment at Coamo in Campo Mourão, Paraná, Brazil. v1.0. No organisation. Dataset/Samplingevent. https://ipt.sibbr.gov.br/sibbr/resource?r=6_soil_macrofauna_sampling_campogalerani&v=1.0","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr864","","","","144"
"co300","Herbário Dendrológico Jeanine Felfili","","Records provided by Herbário Dendrológico Jeanine Felfili, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co300","","","","79"
"co51","Coleção de Trypanosoma de Mamíferos Silvestres, Domésticos e Vetores","","Records provided by Coleção de Trypanosoma de Mamíferos Silvestres, Domésticos e Vetores, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co51","","","","1"
"co428","Herbário da Universidade Tecnológica Federal do Paraná, Dois Vizinhos","","Records provided by Herbário da Universidade Tecnológica Federal do Paraná, Dois Vizinhos, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co428","","","","670"
"co308","Herbário Joinvillea da Universidade da Região de Joinville","","Records provided by Herbário Joinvillea da Universidade da Região de Joinville, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co308","","","","47"
